,TimeStep,GHI,Load,T,Wind
0,0,0.0,406.81678342452824,3.547169811320752,4.930188679245284
0,1,0.0,394.3757625358491,3.4716981132075473,4.852830188679246
0,2,0.0,389.53560405094345,3.275471698113206,4.981132075471699
0,3,0.0,390.0379515566038,3.1509433962264115,5.10377358490566
0,4,0.03773584905660378,394.6377218886793,3.0924528301886802,5.254716981132075
0,5,4.547169811320756,406.1833342792453,2.9490566037735846,4.867924528301886
0,6,16.9433962264151,437.6328680792454,2.913207547169808,4.8113207547169825
0,7,42.320754716981135,467.041129890566,2.9660377358490555,4.6415094339622645
0,8,82.54716981132077,485.1861313471698,3.258490566037735,4.566037735849058
0,9,139.62264150943398,495.816663590566,3.630188679245286,4.679245283018869
0,10,189.8867924528302,506.35538556415105,4.147169811320759,4.641509433962263
0,11,218.1132075471698,515.5199276301887,4.645283018867926,4.830188679245285
0,12,216.79245283018858,517.1903856509433,5.081132075471697,4.509433962264151
0,13,201.7547169811321,512.3995036150943,5.260377358490564,4.584905660377357
0,14,152.16981132075472,503.6848504603774,5.40377358490566,4.264150943396227
0,15,95.54716981132081,498.1848902660378,5.2905660377358465,4.056603773584906
0,16,46.981132075471706,494.40599649056605,5.062264150943391,3.9037735849056605
0,17,17.264150943396228,504.4874236924528,4.696226415094339,3.941509433962264
0,18,2.4905660377358494,510.7363351245283,4.367924528301889,4.113207547169812
0,19,0.0,506.99987379245283,4.026415094339627,3.9452830188679235
0,20,0.0,487.49917400377353,3.771698113207547,4.001886792452831
0,21,0.0,473.7470313622642,3.5943396226415096,3.922641509433963
0,22,0.0,458.34978859811326,3.2924528301886773,4.071698113207547
0,23,0.0,432.37873352264154,3.1132075471698113,4.281132075471699
1,0,0.0,378.8165130440678,8.793220338983053,1.9974576271186453
1,1,0.0,367.9504495627118,8.507627118644074,1.9745762711864403
1,2,0.0,362.7265310559322,8.259322033898306,1.9542372881355936
1,3,0.0,363.14401775254237,8.039830508474568,1.927118644067797
1,4,1.8983050847457636,368.8419129813559,7.87203389830508,1.8694915254237283
1,5,33.4322033898305,381.85454711694916,7.990677966101696,1.7974576271186442
1,6,101.08474576271186,418.307809231356,8.38983050847457,1.8016949152542376
1,7,184.8474576271186,447.68155195593215,9.05847457627119,1.902542372881357
1,8,270.2881355932203,468.1336459406781,9.85169491525424,2.2050847457627114
1,9,359.3474576271186,478.8756818644068,10.655084745762714,2.284745762711864
1,10,419.5932203389832,489.2291908618645,11.466949152542384,2.4110169491525415
1,11,464.29661016949154,500.3054549932204,12.166949152542378,2.5372881355932217
1,12,442.04237288135585,499.40639716101697,12.639830508474573,2.467796610169494
1,13,414.31355932203394,493.60300664830504,13.097457627118645,2.440677966101695
1,14,348.38983050847446,485.0051106372881,13.066949152542378,2.505084745762712
1,15,273.22881355932196,477.00230129999994,13.002542372881353,2.3305084745762725
1,16,184.7627118644068,469.72448588559314,12.662711864406793,2.1457627118644083
1,17,102.96610169491528,468.2952826245763,12.255084745762716,2.083050847457627
1,18,35.36440677966102,470.72257957118643,11.492372881355942,1.8211864406779668
1,19,1.8983050847457623,467.09295547033884,10.696610169491526,1.798305084745762
