,Segment Step,Segment Duration,GHI,Load,T,Wind
0,0,5,0.0,404.4478422264285,1.2257142857142844,2.770714285714286
0,1,1,0.0,428.446427275,0.9821428571428533,2.428571428571429
0,2,1,0.5,480.8105826642857,0.9250000000000007,2.4642857142857144
0,3,2,16.428571428571427,531.9872423642857,1.0053571428571424,2.3928571428571432
0,4,2,84.85714285714286,545.1278661535714,1.3964285714285716,2.1428571428571432
0,5,3,117.17857142857143,553.900503929762,2.516666666666668,2.4880952380952377
0,6,1,74.60714285714285,544.440075075,2.942857142857141,2.1785714285714293
0,7,5,5.585714285714286,543.4303091728572,2.042142857142857,2.0928571428571434
0,8,1,0.0,516.2156228857143,1.607142857142856,2.178571428571429
0,9,1,0.0,496.61558685714283,1.4749999999999992,2.035714285714286
0,10,1,0.0,474.03422055,1.350000000000002,2.2285714285714286
0,11,1,0.0,442.6763611964286,1.3392857142857124,2.4000000000000004
1,0,6,13.136363636363638,362.5586496037879,15.030303030303031,1.6568181818181817
1,1,1,213.04545454545448,427.7655189636364,15.909090909090908,1.5
1,2,1,351.81818181818176,464.7346528500001,17.12727272727273,1.727272727272727
1,3,1,486.31818181818187,488.56957590909093,18.14545454545455,2.0454545454545454
1,4,1,614.6818181818181,497.31117044090905,19.336363636363636,2.1363636363636362
1,5,4,700.2272727272727,514.5747078204546,21.204545454545457,2.4318181818181817
1,6,2,503.75000000000006,498.6705262909091,22.220454545454544,2.3863636363636362
1,7,1,326.2272727272728,484.36069868636366,21.854545454545452,2.0909090909090917
1,8,1,207.63636363636365,470.31120631363643,21.3,2.0454545454545454
1,9,1,76.54545454545455,475.59488400454546,20.36818181818182,2.0000000000000004
1,10,3,1.590909090909091,453.2235399772727,18.01060606060606,1.7166666666666666
1,11,2,0.0,407.2199426363636,16.470454545454547,1.85
2,0,1,0.0,394.829899582353,1.7411764705882353,6.070588235294117
2,1,5,0.2823529411764706,373.67623786117645,1.2129411764705893,6.008235294117648
2,2,2,6.764705882352942,380.34356087941177,0.8382352941176477,5.176470588235294
2,3,1,26.999999999999996,407.8807768764706,0.8294117647058825,5.764705882352941
2,4,1,68.47058823529412,428.1544906117647,0.964705882352942,4.999999999999999
2,5,1,113.70588235294117,443.01708907058827,1.2470588235294138,5.058823529411765
2,6,3,134.3921568627451,456.8994756784314,1.792156862745096,5.11764705882353
2,7,1,79.0,446.39653674705886,1.9764705882352933,4.705882352941176
2,8,2,22.294117647058822,443.74177753529415,1.8264705882352934,4.411764705882353
