,TimeStep,GHI,Load,T,Wind
0,0,0.0,421.5643568198275,8.29222861121667,5.688702999969104
0,1,0.0,403.25356858564203,6.618787132711832,5.4818410726975015
0,2,0.0,394.33716192164945,4.72222012373968,5.274979145425896
0,3,0.0,389.56610231837146,3.2719041757021525,4.964686254518491
0,4,0.0,387.98009433538584,3.3834669409358082,4.137238545432076
0,5,0.0,387.5325358928711,1.1522116362626895,5.171548181790095
0,6,69.03181968207187,393.22478378441656,1.040648871029034,6.205857818148114
0,7,125.0035653702382,408.13760411195847,1.2637744014963452,3.102928909074057
0,8,201.49828447739893,430.91963133246145,1.7100254624309699,4.137238545432076
0,9,422.5866799456561,449.52589502856415,3.0487786452348415,5.171548181790095
0,10,570.9118060192969,459.34610898226833,5.280033949907958,6.205857818148114
0,11,627.8164141355994,455.2572499776686,5.837847776076241,5.171548181790095
0,12,629.6821389918716,456.2523070368198,7.511289254581077,6.205857818148114
0,13,584.9047424413385,447.548816564583,7.511289254581077,5.171548181790095
0,14,487.88704991518347,439.36240815070124,7.622852019814735,5.171548181790095
0,15,370.3463839700341,437.13765178163965,6.730349897945487,4.137238545432076
0,16,230.41701974961825,431.3193923127348,6.618787132711832,4.550962399975284
0,17,83.95761853224955,425.3751211718746,5.503159480375271,4.447531436339482
0,18,0.0,426.9176769422577,4.610657358506026,4.240669509067878
0,19,0.0,429.9376099276314,4.164406297571402,4.033807581796274
0,20,0.0,428.0735073866886,2.602527584300217,3.9303766181604725
0,21,0.0,421.7598920130274,1.933150992898281,3.102928909074057
0,22,0.0,413.84288775242055,0.8175233405617206,3.620083727253066
0,23,0.0,392.87282036098014,-0.9674809031767726,3.620083727253066
1,0,0.0,373.50614185648527,15.43224558617065,2.068619272716038
1,1,0.0,366.6580635205089,14.762868994768716,2.068619272716038
1,2,0.0,362.9211679393456,14.205055168600433,2.068619272716038
1,3,0.0,364.39854524893167,13.75880410766581,2.068619272716038
1,4,0.0,367.56621605985964,13.647241342432155,2.068619272716038
1,5,14.925798850177697,376.8172051487329,13.981929638133122,3.102928909074057
1,6,54.10602083189415,403.86624566307546,13.981929638133122,1.034309636358019
1,7,97.01769252615503,428.9990408299994,14.651306229535056,1.034309636358019
1,8,137.13077693600758,452.28511445453637,15.097557290469682,2.068619272716038
1,9,170.7138243489074,462.9352667378775,15.878496647105276,2.068619272716038
1,10,194.03538505231006,474.5587500213664,17.10568706467549,2.068619272716038
1,11,391.8022198171645,485.04378376438456,18.221314717012053,2.068619272716038
1,12,394.60080710157285,480.2944502201099,20.22944449121786,2.068619272716038
1,13,500.94712390908893,471.299829440999,21.233509378320765,2.068619272716038
1,14,444.04251579278656,470.3525699386849,21.902885969722696,1.034309636358019
1,15,269.59724173133463,469.88763059221014,20.787258317386136,2.068619272716038
1,16,195.90110990858224,461.96628108196427,20.787258317386136,2.068619272716038
1,17,114.74207866074104,459.9066432532259,19.671630665049573,2.068619272716038
1,18,38.24735955358035,455.3224283438701,18.890691308413988,2.068619272716038
1,19,0.0,446.10185581327806,18.44444024747936,2.068619272716038
1,20,0.0,430.06796675462977,16.882561534208183,2.068619272716038
1,21,0.0,417.4494264119898,15.65537111663796,2.068619272716038
1,22,0.0,404.37029197251377,15.320682820936998,2.068619272716038
1,23,0.0,381.35796775089074,14.539743464301404,2.068619272716038
2,0,0.0,464.3518109309011,-6.768744695326882,3.102928909074057
2,1,0.0,449.1391697972075,-6.991870225794193,3.102928909074057
2,2,0.0,440.07502549685194,-7.4381212867288165,2.068619272716038
2,3,0.0,438.82794518838597,-7.772809582429786,3.102928909074057
2,4,0.0,439.22336091902037,-8.21906064336441,2.068619272716038
2,5,0.0,456.2523070368198,-8.665311704299032,3.102928909074057
2,6,0.0,516.2251354959292,-8.776874469532688,3.102928909074057
2,7,0.0,565.0394199234289,-9.0,3.102928909074057
2,8,18.65724856272212,577.7492100355084,-9.0,3.102928909074057
2,9,97.95055495429112,572.8738649138741,-7.9959351128970955,3.102928909074057
2,10,191.23679776790172,573.3127329517068,-6.657181930093226,4.137238545432076
2,11,241.61136888725147,585.6140716788307,-5.429991512523009,4.137238545432076
2,12,247.2085434560681,585.5358575637124,-4.314363860186451,5.171548181790095
2,13,211.75977118689607,584.2496702922829,-3.644987268784516,5.171548181790095
2,14,140.86222664855202,579.4047417289299,-2.752485146915268,4.137238545432076
2,15,42.911671694260875,574.555467915938,-2.640922381681611,3.102928909074057
2,16,0.0,568.1766741760756,-3.4218617383172036,3.102928909074057
2,17,0.0,586.1963321033871,-4.425926625420107,3.102928909074057
2,18,0.0,591.4584024563779,-4.425926625420107,2.068619272716038
2,19,0.0,579.38736082497,-4.983740451588386,2.068619272716038
2,20,0.0,556.3880722576679,-4.425926625420107,2.068619272716038
2,21,0.0,539.1896622553109,-4.425926625420107,3.102928909074057
2,22,0.0,519.4145323658605,-3.9796755644854827,2.068619272716038
2,23,0.0,481.35903089510145,-3.7565500340181717,3.102928909074057
3,0,0.0,366.0106246351553,2.1562765233655945,7.240167454506132
3,1,0.0,351.2020896367784,1.7100254624309699,6.205857818148114
3,2,0.0,342.0640764709436,1.040648871029034,6.205857818148114
3,3,0.0,337.59283748462605,0.7059605753280671,7.240167454506132
3,4,0.0,339.035452986292,0.5943978100944104,7.240167454506132
3,5,0.0,339.45259477592987,0.3712722796270981,8.274477090864153
3,6,0.0,343.4067517038922,0.1481467491597858,7.240167454506132
3,7,72.76326939461627,353.074882676999,0.4828350448607537,7.240167454506132
3,8,202.43114690553503,369.9430554095186,1.4868999319636564,8.274477090864153
3,9,309.71032614118724,396.5532278860286,2.267839288599248,7.240167454506132
3,10,382.47359553580344,409.3542678621431,4.4990945932723685,8.274477090864153
3,11,416.9895053768395,424.0107197853268,5.726285010842583,7.240167454506132
3,12,404.86229381107006,433.8439693933524,6.841912663179143,6.205857818148114
3,13,345.1590984103592,417.08008208459324,8.069103080749358,7.240167454506132
3,14,250.93999316861252,408.50694843935497,8.961605202618607,8.274477090864153
3,15,69.03181968207187,408.50694843935497,8.403791376450327,7.240167454506132
3,16,5.597174568816637,403.996602490074,7.511289254581077,8.274477090864153
3,17,0.0,408.01159253459883,6.841912663179143,6.205857818148114
3,18,0.0,430.31564475430577,5.726285010842583,7.240167454506132
3,19,0.0,438.05883997531157,5.056908419440649,9.308786727222172
3,20,0.0,420.7040017427182,4.275969062805055,7.240167454506132
3,21,0.0,404.93951683734485,3.829718001870433,8.274477090864153
3,22,0.0,398.1870334258512,3.829718001870433,7.240167454506132
3,23,0.0,377.577619957125,3.495029706169466,7.240167454506132
4,0,0.0,416.4109171402362,3.160341410468499,2.068619272716038
4,1,0.0,404.55713676103153,2.9372158800011836,3.102928909074057
4,2,0.0,400.576908524427,1.933150992898281,3.102928909074057
4,3,0.0,402.9580931237247,1.4868999319636564,3.102928909074057
4,4,0.0,416.1980009484806,1.2637744014963452,4.137238545432076
4,5,0.0,441.9043662298745,1.5984626971973142,4.137238545432076
4,6,0.0,504.4495692318429,1.933150992898281,3.102928909074057
4,7,0.0,564.3398383261949,2.267839288599248,4.137238545432076
4,8,17.724386134586016,592.896672708405,2.602527584300217,5.171548181790095
