,TimeStep,GHI,Load,T,Wind
0,0,0.0,367.4902030794118,15.005882352941175,1.7617647058823525
0,1,0.0,356.9181818617647,14.797058823529412,1.908823529411765
0,2,0.0,351.4203309264706,14.58529411764706,1.8088235294117647
0,3,0.0,351.6860770588235,14.399999999999999,1.7588235294117651
0,4,4.029411764705882,355.99746002058816,14.232352941176472,1.7470588235294122
0,5,76.17647058823528,369.0856255558824,14.632352941176476,1.647058823529412
0,6,210.0,406.47949634705884,15.74411764705882,1.7352941176470587
0,7,356.94117647058823,438.0374903705883,16.935294117647054,2.0000000000000004
0,8,505.61764705882325,462.89144057058814,18.11470588235294,2.294117647058824
0,9,632.2941176470588,474.76382094117656,19.21176470588235,2.352941176470589
0,10,711.9117647058821,486.3905854235295,20.167647058823537,2.647058823529412
0,11,719.1176470588234,496.6245808058823,20.80588235294117,2.676470588235295
0,12,726.4411764705882,493.78621765294105,21.605882352941162,2.5000000000000004
0,13,674.3529411764705,487.2911770176471,22.16176470588235,2.470588235294118
0,14,588.1176470588235,477.80686400882354,22.37647058823529,2.6176470588235294
0,15,478.5588235294116,469.72153478529407,22.555882352941172,2.2941176470588234
0,16,350.1470588235294,461.3107442558823,22.129411764705885,2.2058823529411766
0,17,222.6470588235294,452.1578843176471,21.72058823529412,2.147058823529412
0,18,79.61764705882351,455.3781342794118,20.78823529411765,1.970588235294117
0,19,4.705882352941176,448.50629346470583,19.414705882352933,1.7500000000000002
0,20,0.0,433.97118286470584,18.238235294117647,1.7617647058823531
0,21,0.0,423.3074272088236,17.46764705882353,1.8588235294117648
0,22,0.0,408.73516349117654,16.961764705882356,2.0000000000000004
0,23,0.0,383.1586864617648,16.405882352941173,1.9794117647058818
1,0,0.0,389.615535384375,6.618749999999995,2.8343749999999996
1,1,0.0,378.90003135,6.315625000000001,2.7375
1,2,0.0,373.80794735312503,6.062499999999998,2.7718750000000005
1,3,0.0,376.12076276093745,5.9171875000000025,2.8515625000000004
1,4,0.17187500000000003,383.97941151093755,5.698437499999999,2.684375000000001
1,5,8.765625,403.65183580625,5.574999999999994,2.4843750000000004
1,6,44.37499999999998,451.5844040046876,5.571874999999997,2.6093749999999996
1,7,109.14062499999999,485.3686340125,5.903125000000005,2.6249999999999996
1,8,177.85937500000006,502.6013481125,6.659374999999999,3.0453124999999996
1,9,256.5,509.83693484687495,7.431250000000002,3.1874999999999996
1,10,299.32812499999994,519.071114484375,8.210937499999996,3.392187499999999
1,11,327.35937499999994,527.1245553515625,8.620312500000004,3.3375000000000004
1,12,342.46874999999994,527.622804003125,9.1921875,3.392187499999999
1,13,309.6093750000001,523.1755292625,9.617187500000005,3.4312499999999995
1,14,252.82812500000006,513.8407955593749,9.534375000000002,3.3843750000000004
1,15,190.56250000000003,506.09590712031246,9.414062500000005,3.3531249999999986
1,16,114.82812500000003,496.1444991984375,9.193749999999994,2.9718749999999994
1,17,42.796875,495.1130484046875,8.703125000000002,2.854687499999999
1,18,7.578124999999999,496.6270295500001,8.089062499999997,2.56875
1,19,0.15625,498.17287792968756,7.514062500000004,2.4406250000000003
1,20,0.0,484.91187019062494,7.168749999999998,2.346875000000001
1,21,0.0,469.4214473609376,6.909375000000004,2.375
1,22,0.0,445.2241616375,6.7171875,2.3890625
1,23,0.0,415.5261878375,6.528124999999997,2.5296875
2,0,0.0,430.14578268518517,0.17962962962963294,4.222222222222222
2,1,0.0,417.70528734444446,0.07592592592592666,4.312962962962963
2,2,0.0,413.20835894259255,-0.016666666666668207,4.244444444444444
2,3,0.0,415.1999712574074,-0.10185185185185297,4.35925925925926
2,4,0.0,421.8123657129629,-0.23888888888889034,4.466666666666667
2,5,0.0,440.36320553518516,-0.33888888888889107,4.351851851851853
2,6,2.9629629629629632,492.3400081277778,-0.3740740740740744,4.333333333333334
2,7,13.629629629629628,534.3914989425926,-0.34074074074073907,4.388888888888889
2,8,52.44444444444444,551.3417674055555,-0.13148148148147953,4.388888888888889
2,9,105.53703703703704,554.8812962314815,0.2592592592592545,4.5925925925925934
2,10,163.42592592592595,562.30095165,0.7722222222222228,4.7407407407407405
2,11,189.81481481481475,570.0660534944444,1.2796296296296312,5.129629629629631
2,12,197.12962962962968,569.7633944333334,1.6444444444444422,4.814814814814815
2,13,185.037037037037,566.4687659722222,1.8814814814814822,5.037037037037038
2,14,129.92592592592592,557.5710318981482,2.038888888888887,4.648148148148151
2,15,70.31481481481484,551.9580588314816,1.9407407407407398,4.481481481481481
2,16,21.499999999999996,546.0078055074074,1.659259259259258,4.5851851851851855
2,17,2.7592592592592595,555.8549431055557,1.262962962962964,4.475925925925928
2,18,0.0,563.3520921759259,0.9574074074074062,4.792592592592593
2,19,0.0,555.4969071407407,0.6962962962962962,4.6574074074074066
2,20,0.0,526.4585948092592,0.5314814814814802,4.635185185185186
2,21,0.0,512.8506461796296,0.42962962962962936,4.581481481481482
2,22,0.0,491.59339805925936,0.2870370370370363,4.750000000000002
2,23,0.0,460.6403418685186,0.2222222222222232,4.629629629629631
3,0,0.0,398.7901453375,-0.20625,2.865625
3,1,0.0,389.50930450312495,-0.346875,2.8125
3,2,0.0,385.93482086250003,-0.4843749999999975,2.7750000000000004
3,3,0.0,384.34675336562503,-0.590624999999999,2.8187500000000005
3,4,0.0,383.90056542812505,-0.7406249999999989,2.628125
3,5,0.03125,380.233552284375,-0.7468750000000007,2.6875
3,6,1.3750000000000002,377.39946237500004,-0.7062499999999982,2.5187500000000003
3,7,10.375,384.84406995,-0.6999999999999996,2.628125
3,8,36.281250000000014,402.03727803125,-0.6375,2.76875
3,9,88.46875,418.93694504999996,-0.5249999999999989,2.675
3,10,144.15625000000003,433.18164168124997,-0.04062500000000142,3.0031249999999994
3,11,176.1875,444.3516304531249,0.39375,3.0500000000000007
3,12,168.74999999999997,446.53315608124996,0.8062500000000021,3.031250000000001
