,TimeStep,GHI,T,Wind,Load
0,0,0.0,-0.6545016213091,3.541068030003358,403.25382246203617
0,1,0.0,-0.9490486229099577,4.485352838004254,394.0080771654229
0,2,0.0,-1.0472309567769083,3.068925626002911,389.63167199863443
0,3,0.0,-1.243595624510811,2.8328544240026865,391.1619135624984
0,4,0.0,-1.4399602922447148,2.596783222002463,396.9528277982807
0,5,0.0,-1.1454132906438597,1.1803560100011192,412.6538777829145
0,6,9.727921492631488,-0.8508662890430028,1.1803560100011192,453.2931503163269
0,7,91.87481409707516,-0.1635899519743429,1.1803560100011192,479.7016049284312
0,8,182.6687480283024,0.7200510528282233,1.1803560100011192,493.0880038025716
0,9,258.3303596376584,1.2109627221629822,1.1803560100011192,501.9736922825849
0,10,313.45524809590347,1.8982390592316438,1.1803560100011192,509.6420456601563
0,11,342.63901257379797,3.1746093995020175,2.3607120200022385,522.8784209229234
0,12,345.88165307134176,4.058250404304584,3.541068030003358,523.3756422055365
0,13,321.0214092568391,4.843709075240197,3.541068030003358,515.4501053608756
0,14,269.1391612961378,3.5673387349698267,3.541068030003358,501.4636117612971
0,15,103.76449592140254,1.701874391497741,3.541068030003358,493.2508866526199
0,16,57.286648789941,0.7200510528282233,2.3607120200022385,484.776691757276
0,17,10.80880165847943,0.1309570496265149,2.3607120200022385,483.97513665239484
0,18,0.0,0.032774715759559925,1.1803560100011192,489.45314433344083
0,19,0.0,0.32732171736041593,2.3607120200022385,501.6136353726705
0,20,0.0,0.7200510528282233,2.3607120200022385,480.0059386573844
0,21,0.0,1.0145980544290794,3.541068030003358,471.8146456131651
0,22,0.0,1.0145980544290794,2.596783222002463,463.07040801205665
0,23,0.0,1.2109627221629822,4.131246035003919,452.7487786785356
1,0,0.0,11.127378442725114,3.541068030003358,372.65327750433494
1,1,0.0,10.931013774991207,4.721424040004477,360.1755934974772
1,2,0.0,10.538284439523398,2.3607120200022385,353.06018449016585
1,3,0.0,9.851008102454735,1.1803560100011192,353.10733475202915
1,4,4.323520663391772,10.047372770188641,1.1803560100011192,361.950159289756
1,5,39.9925661363739,9.949190436321693,1.1803560100011192,378.13128509206615
1,6,88.63217359953134,9.949190436321693,2.3607120200022385,428.1877585979231
1,7,137.27178106268877,9.752825768587787,2.3607120200022385,463.0146850177248
1,8,181.58786786245443,9.851008102454735,2.3607120200022385,478.7843172353653
1,9,217.25691333543656,10.538284439523398,1.1803560100011192,481.69906307129645
1,10,243.19803731578722,10.440102105656447,2.3607120200022385,497.60157352868805
1,11,256.1685993059625,10.63646677339035,2.3607120200022385,511.92240565414625
1,12,255.08771914011456,10.538284439523398,3.541068030003358,514.6142591394911
1,13,241.0362769840913,10.341919771789495,3.541068030003358,511.1251369621568
1,14,214.01427283789278,9.654643434720832,3.541068030003358,502.72381071271116
1,15,177.26434719906268,9.654643434720832,2.3607120200022385,494.3910666962722
